,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Geissolomataceae,1,NA,51.26457,NA,51.26457,NA,NA,19.39504,83.40618,Crossosomatales,Geissolomataceae,NA
Gelsemiaceae,2,41.41459,68.7893,41.41459,68.7893,18.79575,66.98506,56.8018,79.93903,Gentianales,Gelsemiaceae,NA
Gentianaceae,7,54.99085,69.90377,54.99085,69.90377,43.88127,66.90835,58.68793,79.88686,Gentianales,Gentianaceae,NA
Geraniaceae,2,62.96463,104.24724,62.96463,104.24724,33.4621,88.88647,77.90137,122.87366,Geraniales,Geraniaceae,NA
Gerrardinaceae,1,NA,56.86233,NA,56.86233,NA,NA,24.49151,91.50299,Huerteales,Gerrardinaceae,NA
Gesneriaceae,5,52.86108,62.53812,52.86108,62.53812,39.60999,66.47342,50.59182,73.51338,Lamiales,Gesneriaceae,NA
Ginkgoaceae,1,NA,122.13529,NA,122.13529,NA,NA,47.03881,200.5451,Ginkgoales,Ginkgoaceae,NA
Gisekiaceae,2,4.74287,50.70508,4.74287,50.70508,0.25416,12.02907,37.49152,62.64125,Caryophyllales,Gisekiaceae,NA
Gnetaceae,1,NA,158.86772,NA,158.86772,NA,NA,105.7773,224.79592,Gnetales,Gnetaceae,NA
Gomortegaceae,1,NA,70.95453,NA,70.95453,NA,NA,31.09895,104.74922,Laurales,Gomortegaceae,NA
Goodeniaceae,2,56.38766,77.20928,56.38766,77.20928,32.90887,75.52391,73.22727,81.7161,Asterales,Goodeniaceae,NA
Goupiaceae,1,NA,76.63344,NA,76.63344,NA,NA,58.41713,92.4284,Malpighiales,Goupiaceae,NA
Griseliniaceae,2,22.90892,61.79781,22.90892,61.79781,3.34991,49.29265,49.83144,75.39953,Apiales,Griseliniaceae,NA
Grossulariaceae,2,12.29281,62.61889,12.29281,62.61889,3.32667,24.32689,37.59781,84.52143,Saxifragales,Grossulariaceae,NA
Grubbiaceae,2,16.46707,43.87173,16.46707,43.87173,3.89599,30.30943,21.61495,65.34978,Cornales,Grubbiaceae,NA
Guamatelaceae,1,NA,31.26239,NA,31.26239,NA,NA,17.7733,46.94946,Crossosomatales,Guamatelaceae,NA
Gunneraceae,2,32.94595,95.2524,32.94595,95.2524,7.36555,64.40858,54.61339,133.6085,Gunnerales,Gunneraceae,NA
Gyrostemonaceae,2,9.92618,43.09531,9.92618,43.09531,2.67976,20.02306,23.86115,58.00178,Brassicales,Gyrostemonaceae,NA
Haemodoraceae,2,51.0312,70.93998,51.0312,70.93998,28.92454,77.92219,49.05258,93.95176,Commelinales,Haemodoraceae,NA
Halophytaceae,1,NA,33.0237,NA,33.0237,NA,NA,20.7507,44.42735,Caryophyllales,Halophytaceae,NA
Haloragaceae,2,18.84293,41.00892,18.84293,41.00892,7.56675,33.54132,21.24944,58.49739,Saxifragales,Haloragaceae,NA
Hamamelidaceae,2,88.58866,92.78983,88.58866,92.78983,83.60101,99.51079,84.71518,105.65826,Saxifragales,Hamamelidaceae,NA
Hanguanaceae,2,31.43282,83.20689,31.43282,83.20689,10.71227,56.42499,62.94989,103.6424,Commelinales,Hanguanaceae,NA
Heliconiaceae,2,11.39772,61.78603,11.39772,61.78603,2.13502,26.36615,31.38744,87.90852,Zingiberales,Heliconiaceae,NA
Heliotropiaceae,2,24.37979,42.70241,24.37979,42.70241,9.62178,40.25963,29.16149,55.84894,Boraginales,Heliotropiaceae,NA
Helwingiaceae,2,7.04332,43.42065,7.04332,43.42065,1.52581,14.95535,20.73181,67.25323,Aquifoliales,Helwingiaceae,NA
Hernandiaceae,2,44.46556,75.92433,44.46556,75.92433,13.25094,74.70385,52.68733,104.26279,Laurales,Hernandiaceae,NA
Himantandraceae,1,NA,83.65548,NA,83.65548,NA,NA,34.47442,118.86113,Magnoliales,Himantandraceae,NA
Hoplestigmataceae,1,NA,24.94188,NA,24.94188,NA,NA,14.38502,38.53351,Boraginales,Hoplestigmataceae,NA
Huaceae,2,24.52125,111.59668,24.52125,111.59668,5.40178,47.18515,98.28256,121.85208,Oxalidales,Huaceae,NA
Humiriaceae,2,24.20051,87.08967,24.20051,87.08967,3.29253,55.53302,74.15215,100.07538,Malpighiales,Humiriaceae,NA
Hydatellaceae,2,41.67146,132.68414,41.67146,132.68414,20.39719,71.96533,122.27728,142.97106,Nymphaeales,Hydatellaceae,NA
